name,creator,key,tab
Merrily We Roll Along,Traditional,C,3 5 -4 4 -4 5 5 5 4 -3 3 -3 4 4 4 3 -2 2 -2 3 3 3 -4 -4 -4 5 6 6 -3 -3 -3 4 5 5 -2 -2 -2 3 4 4 5 -4 4 -4 5 5 5 4 -3 3 -3 4 4 4 3 -2 2 -2 3 3 3 -4 -4 5 -4 4 -3 -3 4 -3 3 -2 -2 3 -2 2
Ode To Joy,Beethoven,C,5 5 -5 6 6 -5 5 -4 4 4 -4 5 5 -4 -4 4 4 -4 5 5 -4 4 -3 3 3 -3 4 4 -3 -3 3 3 -3 4 4 -3 3 -2 2 2 -2 3 3 -2 -2 5 5 -5 6 6 -5 5 -4 4 4 -4 5 -4 4 4 4 4 -4 5 5 -4 4 -3 3 3 -3 4 -3 3 3 3 3 -3 4 4 -3 3 -2 2 2 -2 3 -2 2 2
Lucy Locket,Traditional,C,6 6 -6 -6 6 6 5 5 6 6 -6 -6 6 5 6 6 -6 -6 6 6 5 5 6 6 -6 -6 6 5
Love Somebody,Traditional,C,4 5 6 6 -4 5 -5 4 5 6 6 -5 5 -4 4 5 6 6 -4 5 -5 5 5 -4 -4 4 4 4
When The Saints Go Marching In .Ver 2.,Traditional,C,4 5 -5 6 4 5 -5 6 4 5 -5 6 5 4 5 -5 3 4 -4 5 4 3 4 -4 2 3 -3 4 3 2 3 -3 5 -4 4 4 5 6 6 -5 5 -5 6 5 4 -4 4
Go Tell Aunt Rhody,Traditional,C,5 5 -4 4 4 -4 -4 -5 5 -4 4 6 6 -5 5 5 5 -4 4 -4 5 4
Hot Cross Buns,Traditional,C,5 -4 4 5 -4 4 4 4 4 4 -4 -4 -4 -4 5 -4 4
Popeye,?,C,5 6 6 6 -5 5 6 6 -6 -5 -6 7 -6 6 6 -6 -5 -6 7 -7 -6 6 -6 6 5 4 5 6 6 6 -5 -4 4
Red River Valley,Unknown,G,3 4 5 5 5 5 -4 5 -4 4 3 4 5 4 5 6 -5 5 -4 6 -5 5 5 -4 4 -4 5 6 -5 3 3 3 -3 4 -4 5 -4 4
Hey Good Lookin,Unknown,C,7 7 -6 6 -6 7 7 6 -6 6 -6 -6 6 -6 -6 -6 -7 -7 -6 6 7 7 -6 6 -6 7 7 6 -6 6 -6 -6 6 -6 -6 -6 -7 -7 -6 6 7 7 7 7 -6 -6 7 7 7 -6 6 5 6 6 -6 -6 -6 7 7 -6 6 5 6 -6 7 -6 7 7 7 -6 6 6 6 -7 7 -8 -8 -8 -8 -8 7 -7 6 6 7 -6 6 -6 7 6 -6 6 -6 -6 6 -6 -6 -6 -7 -7 -6 6 7
